HUM%,54,2020-09-06 21:56:30.982015
HUM%,47,2020-09-06 21:56:31.481709
HUM%,62,2020-09-06 21:56:31.982360
HUM%,70,2020-09-06 21:56:32.483502
HUM%,0,2020-09-06 21:56:32.984934
HUM%,46,2020-09-06 21:56:33.486040
HUM%,14,2020-09-06 21:56:33.987230
HUM%,61,2020-09-06 21:56:34.488493
HUM%,90,2020-09-06 21:56:34.989695
HUM%,11,2020-09-06 21:56:35.490877
HUM%,85,2020-09-06 21:56:35.992242
HUM%,8,2020-09-06 21:56:36.493461
HUM%,74,2020-09-06 21:56:36.994630
HUM%,24,2020-09-06 21:56:37.495961
HUM%,37,2020-09-06 21:56:37.997143
HUM%,85,2020-09-06 21:56:38.498321
HUM%,24,2020-09-06 21:56:38.999689
HUM%,79,2020-09-06 21:56:39.501024
HUM%,41,2020-09-06 21:56:40.002242
HUM%,62,2020-09-06 21:56:40.503473
