HUM%,37,2020-09-06 11:03:43.192065
HUM%,3,2020-09-06 11:03:43.693280
HUM%,74,2020-09-06 11:03:44.194224
HUM%,76,2020-09-06 11:03:44.695263
HUM%,16,2020-09-06 11:03:45.196373
HUM%,95,2020-09-06 11:03:45.697432
HUM%,81,2020-09-06 11:03:46.198847
HUM%,26,2020-09-06 11:03:46.699786
HUM%,82,2020-09-06 11:03:47.200494
HUM%,29,2020-09-06 11:03:47.701820
HUM%,29,2020-09-06 11:03:48.202873
HUM%,23,2020-09-06 11:03:48.703904
HUM%,47,2020-09-06 11:03:49.205240
HUM%,31,2020-09-06 11:03:49.706402
HUM%,91,2020-09-06 11:03:50.207743
HUM%,74,2020-09-06 11:03:50.708925
HUM%,70,2020-09-06 11:03:51.210065
HUM%,10,2020-09-06 11:03:51.710986
HUM%,34,2020-09-06 11:03:52.212158
HUM%,78,2020-09-06 11:03:52.713351
HUM%,98,2020-09-06 11:03:53.214418
HUM%,44,2020-09-06 11:03:53.715543
HUM%,54,2020-09-06 11:03:54.216248
